year,station,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,FZF7,TAVG,TMAX,TMIN,CDSD,CLDD,FZF1,HDSD,HTDD,FZF8,FZF2,FZF9,FZF3,FZF4,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,DYTS
1805,GHCND:EZE00100082,2.0,113.0,38.0,70.0,0.0,-20.8,29.1,-1.0,-0.7,-4.3,-4.5,,,,82.9,82.9,-2.2,3815.3,3815.3,-9.1,-4.5,-9.1,-6.7,-9.0,136.0,51.0,0.0,21.5,,,,,,,
1806,GHCND:EZE00100082,0.0,36.0,2.0,94.0,0.0,-7.1,29.0,-0.1,0.0,-2.2,-7.1,10.97,14.14,7.79,165.2,165.2,,3245.9,3245.9,-7.1,,,,,,,,,,,,,,,
1807,GHCND:EZE00100082,0.0,78.0,10.0,106.0,9.0,-6.8,34.2,-0.4,0.0,-2.5,-5.8,10.71,14.01,,360.5,360.5,-2.5,3016.1,3016.1,-6.8,-5.2,,,,121.0,51.0,3.0,39.8,534.1,,,,,,
1808,GHCND:EZE00100082,4.0,118.0,40.0,114.0,3.0,-19.6,34.1,-0.3,-0.1,-3.7,-6.4,,,,261.9,261.9,-2.5,3340.1,3340.1,-7.5,-4.4,-9.1,-8.7,-11.0,122.0,42.0,3.0,45.1,,,,,,,
1809,GHCND:EZE00100082,1.0,69.0,19.0,101.0,0.0,-19.4,31.2,-1.7,-0.2,-3.1,-4.6,9.82,13.04,,225.1,225.1,-3.8,3539.9,3539.9,-8.7,,-9.9,,,133.0,39.0,1.0,32.7,402.9,,,,,,
1810,GHCND:EZE00100082,0.0,80.0,36.0,99.0,0.0,-17.6,30.1,-1.6,-0.2,-2.6,-9.0,,,,183.6,183.6,-2.6,3479.0,3479.0,-9.0,-4.4,-9.0,-7.8,,126.0,58.0,2.0,29.0,461.9,,,,,,
1811,GHCND:EZE00100082,2.0,74.0,33.0,117.0,3.0,-21.4,33.3,-2.1,-0.2,-3.1,-5.3,11.06,,,400.8,400.8,-3.4,3123.5,3123.5,-7.1,-6.5,-12.0,,,115.0,45.0,3.0,29.7,486.9,,,,,,
1812,GHCND:EZE00100082,1.0,113.0,57.0,80.0,0.0,-18.4,29.8,-0.9,-0.2,-4.0,-4.7,,,,117.8,117.8,-5.5,3283.8,3283.8,-9.5,-5.5,-9.5,-7.7,-12.3,160.0,69.0,1.0,30.3,,,,,,,
1813,GHCND:EZE00100082,0.0,74.0,36.0,71.0,0.0,-13.5,27.8,-1.3,-0.8,-3.8,-4.7,,,,81.9,81.9,-2.7,3454.6,3454.6,-7.7,-4.6,-8.9,-6.7,,134.0,51.0,0.0,19.4,456.9,,,,,,
1814,GHCND:EZE00100082,2.0,85.0,45.0,65.0,0.0,-18.1,29.5,-0.1,-2.2,-2.2,-6.1,,,,98.2,98.2,-5.1,3802.5,3802.5,-9.1,-5.1,-9.1,-8.0,,117.0,54.0,1.0,36.6,498.4,,,,,,
1815,GHCND:EZE00100082,0.0,75.0,32.0,68.0,0.0,-14.4,29.4,-0.4,-0.5,-2.3,-5.4,,,,64.3,64.3,-3.3,3185.5,3185.5,-14.4,-4.7,-14.4,-8.0,-11.7,154.0,50.0,4.0,53.1,,,,,,,
1816,GHCND:EZE00100082,0.0,75.0,26.0,58.0,0.0,-14.0,27.2,-0.6,0.0,-2.8,-5.1,,,,53.3,53.3,-2.4,3524.3,3524.3,-7.3,-4.6,-14.0,-8.1,,173.0,58.0,0.0,23.9,496.6,,,,,,
1817,GHCND:EZE00100082,0.0,38.0,9.0,81.0,0.0,-8.1,28.7,0.0,-0.3,-2.8,-6.9,9.75,,,113.8,113.8,-4.0,3402.0,3402.0,-6.9,-5.2,,-8.1,,166.0,59.0,2.0,31.3,547.9,,,,,,
1818,GHCND:EZE00100082,0.0,68.0,21.0,73.0,0.0,-10.9,29.9,-0.3,-2.0,-4.7,-4.7,,,,113.6,113.6,-2.9,3117.6,3117.6,-6.8,-4.6,,-8.1,-9.2,135.0,42.0,2.0,29.0,438.4,,,,,,
1819,GHCND:EZE00100082,0.0,55.0,18.0,100.0,2.0,-9.7,33.5,-1.3,-0.4,-3.4,-5.6,10.22,,,172.2,172.2,-2.8,3146.5,3146.5,,-6.5,,-9.5,-9.5,159.0,52.0,0.0,24.7,521.8,,,,,,
1820,GHCND:EZE00100082,2.0,83.0,37.0,71.0,0.0,-24.0,30.4,-0.7,-2.4,-2.4,-4.5,,,,151.8,151.8,-3.0,3478.3,3478.3,-13.9,-5.0,-13.9,-7.7,-9.4,148.0,45.0,2.0,38.3,,,,,,,
