tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
728,301,40.72217444,-73.98368779,475,40.73524276,-73.98758561,23497,Subscriber,1983
1876,301,40.72217444,-73.98368779,160,40.748238,-73.978311,16761,Subscriber,1944
289,301,40.72217444,-73.98368779,403,40.72502876,-73.99069656,15508,Subscriber,1959
477,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,22006,Subscriber,1974
645,301,40.72217444,-73.98368779,380,40.73401143,-74.00293877,22893,Subscriber,1975
554,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,15605,Subscriber,1957
345,301,40.72217444,-73.98368779,312,40.722055,-73.989111,23163,Subscriber,1991
349,301,40.72217444,-73.98368779,312,40.722055,-73.989111,16920,Subscriber,1983
743,301,40.72217444,-73.98368779,317,40.72453734,-73.98185424,21970,Subscriber,1986
421,301,40.72217444,-73.98368779,236,40.7284186,-73.98713956,15886,Customer,
1431,301,40.72217444,-73.98368779,127,40.73172428,-74.00674436,20942,Customer,
1442,301,40.72217444,-73.98368779,127,40.73172428,-74.00674436,16323,Customer,
594,301,40.72217444,-73.98368779,340,40.71269042,-73.98776323,22442,Subscriber,1957
225,301,40.72217444,-73.98368779,302,40.72082834,-73.97793172,16219,Subscriber,1988
447,301,40.72217444,-73.98368779,294,40.73049393,-73.9957214,22060,Subscriber,1991
513,301,40.72217444,-73.98368779,326,40.72953837,-73.98426726,22117,Subscriber,1958
309,301,40.72217444,-73.98368779,504,40.73221853,-73.98165557,20871,Subscriber,1985
4636,301,40.72217444,-73.98368779,411,40.72228087,-73.97668709,22118,Customer,
1347,301,40.72217444,-73.98368779,290,40.76020258,-73.96478473,22959,Subscriber,1982
248,301,40.72217444,-73.98368779,266,40.72368361,-73.97574813,17749,Subscriber,1986
317,301,40.72217444,-73.98368779,394,40.72521311,-73.97768752,22713,Subscriber,1952
2553,301,40.72217444,-73.98368779,433,40.72955361,-73.98057249,16103,Customer,
2490,301,40.72217444,-73.98368779,433,40.72955361,-73.98057249,16834,Subscriber,1983
650,301,40.72217444,-73.98368779,151,40.7218158,-73.99720307,17714,Subscriber,1992
309,301,40.72217444,-73.98368779,511,40.72938685,-73.97772429,24061,Subscriber,1984
552,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,15637,Customer,
779,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,22093,Subscriber,1990
701,301,40.72217444,-73.98368779,483,40.73223272,-73.98889957,22093,Subscriber,1981
416,301,40.72217444,-73.98368779,266,40.72368361,-73.97574813,21301,Subscriber,1979
524,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,20189,Customer,
528,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,20189,Customer,
296,301,40.72217444,-73.98368779,438,40.72779126,-73.98564945,22118,Subscriber,1979
753,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,23912,Subscriber,1960
280,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,20189,Subscriber,1974
404,301,40.72217444,-73.98368779,268,40.71910537,-73.99973337,15945,Subscriber,1991
766,301,40.72217444,-73.98368779,545,40.736502,-73.97809472,14699,Subscriber,1991
1849,301,40.72217444,-73.98368779,327,40.7153379,-74.01658354,21924,Subscriber,1959
720,301,40.72217444,-73.98368779,491,40.74096374,-73.98602213,22418,Subscriber,1962
649,301,40.72217444,-73.98368779,345,40.73649403,-73.99704374,16024,Subscriber,1986
352,301,40.72217444,-73.98368779,236,40.7284186,-73.98713956,14943,Customer,
344,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,21359,Subscriber,1960
801,301,40.72217444,-73.98368779,383,40.735238,-74.000271,18429,Subscriber,1969
337,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,23223,Subscriber,1984
962,301,40.72217444,-73.98368779,284,40.73901691,-74.00263761,21089,Subscriber,1956
1006,301,40.72217444,-73.98368779,532,40.710451,-73.960876,21352,Customer,
541,301,40.72217444,-73.98368779,332,40.71219906,-73.97948148,19108,Subscriber,1965
982,301,40.72217444,-73.98368779,532,40.710451,-73.960876,15422,Subscriber,1986
1644,301,40.72217444,-73.98368779,279,40.707873,-74.00167,17025,Customer,
1611,301,40.72217444,-73.98368779,279,40.707873,-74.00167,15960,Customer,
1576,301,40.72217444,-73.98368779,279,40.707873,-74.00167,19102,Customer,
1572,301,40.72217444,-73.98368779,279,40.707873,-74.00167,16183,Customer,
766,301,40.72217444,-73.98368779,408,40.71076228,-73.99400398,20100,Subscriber,1993
521,301,40.72217444,-73.98368779,361,40.71605866,-73.99190759,17009,Subscriber,1976
486,301,40.72217444,-73.98368779,345,40.73649403,-73.99704374,23001,Subscriber,1971
479,301,40.72217444,-73.98368779,128,40.72710258,-74.00297088,22662,Subscriber,1992
275,301,40.72217444,-73.98368779,341,40.71782143,-73.97628939,20530,Subscriber,1988
612,301,40.72217444,-73.98368779,369,40.73224119,-74.00026394,22442,Subscriber,1989
1037,301,40.72217444,-73.98368779,405,40.739323,-74.008119,19276,Subscriber,1982
1015,301,40.72217444,-73.98368779,405,40.739323,-74.008119,21112,Subscriber,1981
593,301,40.72217444,-73.98368779,300,40.728145,-73.990214,15476,Subscriber,1980
575,301,40.72217444,-73.98368779,300,40.728145,-73.990214,18782,Subscriber,1983
376,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,22359,Subscriber,1980
354,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,17813,Subscriber,1984
473,301,40.72217444,-73.98368779,483,40.73223272,-73.98889957,17650,Subscriber,1971
826,301,40.72217444,-73.98368779,532,40.710451,-73.960876,16361,Subscriber,1956
1996,301,40.72217444,-73.98368779,495,40.76269882,-73.99301222,23297,Subscriber,1985
178,301,40.72217444,-73.98368779,428,40.72467721,-73.98783413,22147,Subscriber,1990
1190,301,40.72217444,-73.98368779,351,40.70530954,-74.00612572,21975,Subscriber,1987
392,301,40.72217444,-73.98368779,545,40.736502,-73.97809472,22440,Subscriber,1979
1139,301,40.72217444,-73.98368779,383,40.735238,-74.000271,15599,Subscriber,1973
1114,301,40.72217444,-73.98368779,383,40.735238,-74.000271,19052,Subscriber,1991
599,301,40.72217444,-73.98368779,369,40.73224119,-74.00026394,22467,Subscriber,1959
1703,301,40.72217444,-73.98368779,82,40.71117416,-74.00016545,18840,Customer,
1710,301,40.72217444,-73.98368779,82,40.71117416,-74.00016545,21399,Customer,
